Time[s], SI, SO, SCLK, CSn, GDO2
-0.002028250000000, 1, 1, 0, 1, 0
-0.000000625000000, 1, 0, 0, 0, 0
-0.000000125000000, 0, 0, 0, 0, 0
0.000000000000000, 0, 0, 1, 0, 0
0.000000375000000, 0, 0, 0, 0, 0
0.000000625000000, 0, 0, 1, 0, 0
0.000001000000000, 0, 0, 0, 0, 0
0.000001125000000, 1, 0, 0, 0, 0
0.000001250000000, 1, 0, 1, 0, 0
0.000001625000000, 1, 0, 0, 0, 0
0.000001875000000, 1, 0, 1, 0, 0
0.000002250000000, 1, 1, 0, 0, 0
0.000002375000000, 0, 1, 0, 0, 0
0.000002500000000, 0, 1, 1, 0, 0
0.000002875000000, 0, 1, 0, 0, 0
0.000003000000000, 1, 1, 0, 0, 0
0.000003125000000, 1, 1, 1, 0, 0
0.000003625000000, 1, 1, 0, 0, 0
0.000003875000000, 1, 1, 1, 0, 0
0.000004250000000, 1, 1, 0, 0, 0
0.000004375000000, 0, 1, 0, 0, 0
0.000004500000000, 0, 1, 1, 0, 0
0.000004875000000, 0, 0, 0, 0, 0
0.000005500000000, 0, 0, 1, 0, 0
0.000005875000000, 0, 0, 0, 0, 0
0.000006125000000, 0, 0, 1, 0, 0
0.000006375000000, 0, 0, 0, 0, 0
0.000006500000000, 1, 0, 0, 0, 0
0.000006625000000, 1, 0, 1, 0, 0
0.000007125000000, 1, 0, 0, 0, 0
0.000007375000000, 1, 0, 1, 0, 0
0.000007750000000, 1, 1, 0, 0, 0
0.000008000000000, 1, 1, 1, 0, 0
0.000008375000000, 1, 1, 0, 0, 0
0.000008625000000, 1, 1, 1, 0, 0
0.000009000000000, 1, 1, 0, 0, 0
0.000009125000000, 0, 1, 0, 0, 0
0.000009250000000, 0, 1, 1, 0, 0
0.000009750000000, 0, 1, 0, 0, 0
0.000009875000000, 1, 1, 0, 0, 0
0.000010000000000, 1, 1, 1, 0, 0
0.000010375000000, 1, 0, 0, 0, 0
0.000010750000000, 1, 0, 0, 1, 0
0.000011125000000, 1, 1, 0, 1, 0
0.000012125000000, 1, 0, 0, 0, 0
0.000012875000000, 0, 0, 0, 0, 0
0.000013000000000, 0, 0, 1, 0, 0
0.000013375000000, 0, 0, 0, 0, 0
0.000013875000000, 0, 0, 1, 0, 0
0.000014125000000, 0, 0, 0, 0, 0
0.000014625000000, 0, 0, 1, 0, 0
0.000015000000000, 0, 0, 0, 0, 0
0.000015500000000, 0, 0, 1, 0, 0
0.000015750000000, 0, 1, 0, 0, 0
0.000016125000000, 1, 1, 0, 0, 0
0.000016250000000, 1, 1, 1, 0, 0
0.000016750000000, 1, 1, 0, 0, 0
0.000017000000000, 0, 1, 0, 0, 0
0.000017125000000, 0, 1, 1, 0, 0
0.000017625000000, 0, 1, 0, 0, 0
0.000017875000000, 1, 1, 0, 0, 0
0.000018125000000, 1, 1, 1, 0, 0
0.000018500000000, 1, 1, 0, 0, 0
0.000018875000000, 0, 1, 0, 0, 0
0.000019000000000, 0, 1, 1, 0, 0
0.000019375000000, 0, 0, 0, 0, 0
0.000020000000000, 0, 0, 1, 0, 0
0.000020375000000, 0, 0, 0, 0, 0
0.000020875000000, 0, 0, 1, 0, 0
0.000021125000000, 0, 0, 0, 0, 0
0.000021500000000, 1, 0, 0, 0, 0
0.000021625000000, 1, 0, 1, 0, 0
0.000022125000000, 1, 0, 0, 0, 0
0.000022500000000, 1, 0, 1, 0, 0
0.000022875000000, 1, 1, 0, 0, 0
0.000023125000000, 0, 1, 0, 0, 0
0.000023250000000, 0, 1, 1, 0, 0
0.000023750000000, 0, 1, 0, 0, 0
0.000024125000000, 0, 1, 1, 0, 0
0.000024625000000, 0, 1, 0, 0, 0
0.000025000000000, 0, 1, 1, 0, 0
0.000025500000000, 0, 1, 0, 0, 0
